"INCITS","County or equivalent","State or district","Pop Rank","2013 Pop","Core Based Statistical Area","Combined Statistical Area"
"36037","Genesee County","New York","873","59,454","Batavia, NY Micropolitan Statistical Area","Rochester-Batavia-Seneca Falls, NY Combined Statistical Area"
"36039","Greene County","New York","1007","48,455","",""
"36041","Hamilton County","New York","2852","4,773","",""
"36043","Herkimer County","New York","817","64,181","Utica-Rome, NY Metropolitan Statistical Area",""
"36045","Jefferson County","New York","512","119,504","Watertown-Fort Drum, NY Metropolitan Statistical Area",""
"36047","Kings County","New York","8","2,592,149","New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area","New York-Newark, NY-NJ-CT-PA Combined Statistical Area"
"36049","Lewis County","New York","1528","27,149","",""
"36051","Livingston County","New York","814","64,705","Rochester, NY Metropolitan Statistical Area","Rochester-Batavia-Seneca Falls, NY Combined Statistical Area"
"36053","Madison County","New York","746","72,382","Syracuse, NY Metropolitan Statistical Area","Syracuse-Auburn, NY Combined Statistical Area"
"36055","Monroe County","New York","81","749,606","Rochester, NY Metropolitan Statistical Area","Rochester-Batavia-Seneca Falls, NY Combined Statistical Area"
"36057","Montgomery County","New York","982","49,897","Amsterdam, NY Micropolitan Statistical Area","Albany-Schenectady, NY Combined Statistical Area"
"36059","Nassau County","New York","28","1,352,146","New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area","New York-Newark, NY-NJ-CT-PA Combined Statistical Area"
"36061","New York County","New York","20","1,626,159","New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area","New York-Newark, NY-NJ-CT-PA Combined Statistical Area"
"36063","Niagara County","New York","295","214,249","Buffalo-Cheektowaga-Niagara Falls, NY Metropolitan Statistical Area","Buffalo-Cheektowaga, NY Combined Statistical Area"
"36065","Oneida County","New York","278","233,585","Utica-Rome, NY Metropolitan Statistical Area",""
"36067","Onondaga County","New York","145","468,387","Syracuse, NY Metropolitan Statistical Area","Syracuse-Auburn, NY Combined Statistical Area"
"36069","Ontario County","New York","546","109,103","Rochester, NY Metropolitan Statistical Area","Rochester-Batavia-Seneca Falls, NY Combined Statistical Area"
"36071","Orange County","New York","177","375,592","New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area","New York-Newark, NY-NJ-CT-PA Combined Statistical Area"
"36073","Orleans County","New York","1126","42,235","Rochester, NY Metropolitan Statistical Area","Rochester-Batavia-Seneca Falls, NY Combined Statistical Area"
"36075","Oswego County","New York","507","121,165","Syracuse, NY Metropolitan Statistical Area","Syracuse-Auburn, NY Combined Statistical Area"
"36077","Otsego County","New York","845","61,683","Oneonta, NY Micropolitan Statistical Area",""
"36079","Putnam County","New York","593","99,645","New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area","New York-Newark, NY-NJ-CT-PA Combined Statistical Area"
